5,5,5,0,
gal:stone_sandstone_desert,gal:stone_sandstone_desert_brick,gal:stone_sandstone_desert_block,gal:stone_sandstone_desert_cobble,,,,gal:glass_framed_wood_screen,gal:tree_default_trunk,gal:tree_default_wood,
##
ggggg,K0m00,K0m00,K0m00,ggggg,
K0S16,K0m00,K0m00,K0m00,K0S12,
K0S16,K0m00,K0m00,K0m00,K0S12,
_____,K0S00,K0S00,K0S00,_____,
_____,_____,_____,_____,_____,
#
K0m00,K0m00,K0m00,K0m00,K0m00,
K0m00,Cs0S0,_____,_____,K0m00,
K0m00,TwE00,_____,_____,K0m00,
K0S01,_____,_____,_____,K0S03,
_____,K0L01,K0L01,K0L01,_____,
#
K0m00,K0m00,K0m00,K0m00,K0m00,
K0m00,_____,_____,_____,W0DE0,
K0m00,_____,_____,_____,_____,
K0S01,_____,_____,_____,K0S03,
_____,K0L01,K0L01,K0L01,_____,
#
K0m00,K0m00,K0m00,K0m00,K0m00,
K0m00,Bt0W0,Bb0W0,_____,K0m00,
K0m00,_____,_____,_____,K0m00,
K0S01,_____,_____,_____,K0S03,
_____,K0L01,K0L01,K0L01,_____,
#
ggggg,K0m00,K0m00,K0m00,ggggg,
K0S18,K0m00,K0m00,K0m00,K0S14,
K0S18,K0m00,K0m00,K0m00,K0S14,
_____,K0S02,K0S02,K0S02,_____,
_____,_____,_____,_____,_____,

