9,9,7,270,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
sssss,S2m00,S2m00,S2m00,sssss,S2m00,S2m00,S2m00,sssss,
_____,S2m00,S2m00,S2m00,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,S2L00,S2L00,S2L00,S2m00,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,S2L00,S2L00,S2L00,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,K2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,_____,_____,_____,K2m00,
_____,_____,_____,_____,S2m00,_____,_____,_____,K2m00,
_____,_____,_____,_____,S2m00,S2L00,S2L00,S2L00,K2m00,
S2m00,S2L00,S2L00,S2L00,S2m00,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,K2m00,S2L00,K2m00,sssss,sssss,S2m00,S2m00,sssss,
_____,K2m00,_____,K2m00,S2L00,S2m00,K2m00,S2m00,Ld0S0,
K0S02,K2m00,S2S20,K2m00,_____,_____,K2m00,S2m00,Ld0S0,
_____,K2m00,S2m00,K2m00,_____,_____,K2m00,S2m00,Ld0S0,
_____,K2m00,S2m00,K2m00,S2L00,S2L00,K2m00,S2m00,Ld0S0,
S2L00,K2m00,S2m00,K2m00,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2L00,S2m00,sssss,sssss,sssss,S2m00,sssss,
K0S02,_____,_____,_____,S2L00,S2L00,S2L00,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,TwW00,_____,TwW00,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,sssss,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
