9,9,6,270,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
sssss,S2m00,S2m00,S2m00,sssss,S2m00,S2m00,S2m00,sssss,
_____,S2m00,S2m00,S2m00,Ld0N0,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,Ld0N0,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,Ld0N0,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,Ld0N0,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,Ld0N0,S2m00,S2m00,S2m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,S2S20,S2S20,S2S20,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,S2S20,S2S20,S2S20,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2L00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2L00,
_____,_____,_____,_____,S2m00,_____,_____,_____,_____,
S2S20,S2S20,S2S20,S2S20,S2L00,S2S20,S2S20,S2S20,S2S20,
S2m00,_____,_____,_____,_____,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,_____,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2L00,S2m00,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2L00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2L00,
_____,S2m00,S2m00,S2m00,K0S02,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,S2S20,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,_____,S2L00,_____,S2m00,S2m00,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,
_____,_____,_____,Ld0W0,_____,Ld0W0,_____,_____,_____,
_____,_____,_____,Ld0W0,_____,Ld0W0,_____,_____,_____,
_____,TwW00,_____,Ld0W0,_____,Ld0W0,_____,TwW00,_____,
_____,_____,_____,Ld0W0,_____,Ld0W0,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,
