13,12,9,270,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
sssss,sssss,sssss,S2m00,S2m00,S2m00,S2m00,S2m00,sssss,sssss,sssss,sssss,sssss,
_____,_____,_____,K0S01,_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,
_____,_____,_____,_____,K0S01,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,K0S01,S2m00,S2m00,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
sssss,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,sssss,
_____,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,S2m00,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,S2m00,S2L00,S2L00,S2L00,S2m00,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,S2m00,S2m00,S2m00,S2m00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,S2L00,S2L00,S2L00,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,S2m00,S2m00,S2m00,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,_____,
#
S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,_____,_____,_____,S2m00,
S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,S2L00,S2L00,S2L00,S2m00,
S2m00,_____,_____,_____,S2m00,_____,_____,Ld0N0,S2m00,_____,_____,_____,S2m00,
S2m00,S2S20,S2S20,S2S20,S2m00,_____,_____,Ld0N0,S2m00,S2S20,S2S20,S2S20,S2m00,
