5,5,5,0,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
ggggg,ggggg,ggggg,ggggg,ggggg,
C0m00,C0PW0,C0PW0,C0PW0,C0m00,
C0PW0,_____,_____,_____,C0PW0,
C0PW0,_____,_____,_____,C0PW0,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ggggg,ddddd,ddddd,ggggg,ggggg,
C0PW0,wwwww,wwwww,wwwww,C0PW0,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ggggg,ddddd,ddddd,ddddd,ggggg,
C0PW0,wwwww,wwwww,wwwww,C0PW0,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ggggg,ggggg,ddddd,ddddd,ggggg,
C0PW0,wwwww,wwwww,wwwww,C0PW0,
_____,_____,_____,_____,_____,
_____,_____,_____,_____,_____,
C0L00,C0L00,C0L00,C0L00,C0L00,
#
ddddd,ggggg,ggggg,ggggg,ggggg,
C0m00,C0PW0,C0PW0,C0PW0,C0m00,
C0PW0,_____,_____,_____,C0PW0,
C0PW0,_____,_____,_____,C0PW0,
C0L00,C0L00,C0L00,C0L00,C0L00,
