4,11,4,0,
gal:stone,gal:stone_brick,gal:stone_block,gal:stone_cobble,gal:stone_cobble_small,gal:stone_rockwall,gal:stone_gravel,gal:glass,gal:tree_default_trunk,gal:tree_default_wood,
##
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
W0n00,_____,_____,W0n00,
W0n00,_____,_____,W0n00,
W0n00,_____,_____,W0n00,
C0m00,C0m00,C0m00,C0m00,
#
C0m00,C0m00,C0m00,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,_____,_____,C0m00,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
C0m00,C0m00,C0m00,C0m00,
#
C0m00,C0m00,C0m00,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,wwwww,wwwww,C0m00,
C0m00,_____,_____,C0m00,
_____,_____,_____,_____,
_____,_____,_____,_____,
_____,_____,_____,_____,
C0m00,C0m00,C0m00,C0m00,
#
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
C0m00,C0m00,C0m00,C0m00,
W0n00,_____,_____,W0n00,
W0n00,_____,_____,W0n00,
W0n00,_____,_____,W0n00,
C0m00,C0m00,C0m00,C0m00,
