#Node_Name|Description|Alias_Mod|Alias_Node|Tile_String|Special_Tiles|Inv_Image|Wield_Image|Draw_Type|Vis_Scale|Wld_Scale|Param_Type|ParamType2|Place_Param2|LightSource|Walkable|Pointable|Climbable|Diggable|Buildable|Floodable|Waving|Use_Alpha|Sun_Prop|Liquid_Point|Damage_Per_Second|Grnd_Cnt|Leg_wall|MaxLight|Grow|Eat|Groups|Max_Drops|Drops|Sounds|Dig_Predict|Place_Predict|NodeBox|SelBox|ColBox|Mesh|LiquidType|LiquidViscosity|LiquidRange|LiquidRenew|LiquidAltSource|LiquidAltFlow|OnConstruct|OnTimer|TimerTrig|TimerAct|AfterPlace|OnPlace
#
#BUSHES, SHRUBS
bush_01_1|Bush - 01 - 1|||lib_ecology_bush_01_1.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
bush_01_2|Bush - 01 - 2|||lib_ecology_bush_01_2.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
bush_02_1|Bush - 02 - 1|||lib_ecology_bush_02_1.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
bush_02_2|Bush - 02 - 2|||lib_ecology_bush_02_2.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
bush_02_3|Bush - 02 - 3|||lib_ecology_bush_02_3.png||||plantlike|1|0.5,0.5,0.5|light||||FALSE||||FALSE|TRUE|1||TRUE|||FALSE|||||snappy 3,oddly_breakable_by_hand 1,flammable 1,leaves 1,attached_node 1,flora 1,lib_ecology_plant 1|||leaves||||-0.3,-0.5,-0.3,0.3,0,0.3||||||||||||||
#bush_blueberry_leaves||||lib_ecology_bush_blueberry_leaves.png||||||||||||||||||||||||||||||||||||||||||||||||
#bush_blueberry_leaves_with_berries||||lib_ecology_bush_blueberry_leaves.png||||||||||||||||||||||||||||||||||||||||||||||||
#bush_blueberry_sapling||||lib_ecology_bush_blueberry_sapling.png||||||||||||||||||||||||||||||||||||||||||||||||
bush_hawthorne_leaves|Bush - Hawthorne Leaves|||lib_ecology_bush_hawthorne_leaves.png||||allfaces_optional|2|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE|||||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||||||lib_ecology.after_place_leaves|
bush_kokomuka_leaves|Bush - Kokomuka Leaves|||lib_ecology_bush_kokomuka_leaves.png||||allfaces_optional|2|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE|||||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||||||lib_ecology.after_place_leaves|
bush_leatherwood_leaves|Bush - Leatherwood Leaves|||lib_ecology_bush_leatherwood_leaves.png||||allfaces_optional|2|0.5,0.5,0.5|light||||FALSE|||||TRUE|1|||||FALSE|||||snappy 3,leafdecay 3,flammable 2,leaves 1|||leaves|||||||||||||||||lib_ecology.after_place_leaves|
