#Cell_Idx|Cell_Z|Cell_X|Tier
#C_Idx|C_Z|C_X|Tier
#North America|||
1|19441|-24524|1
2|19253|-19589|1
3|17765|-14528|1
4|15860|-24749|1
5|12079|-19638|1
6|11609|-14183|1
7|4643|-17654|1
#South America|||
8|2357|-15296|1
9|-2602|-11757|1
10|-6874|-15565|1
11|-7489|-19267|1
#Europe|||
12|5467|1976|1
13|12158|3667|1
14|14419|2962|1
15|11127|6225|1
16|16148|6997|1
#Asia|||
17|16727|10648|1
18|15345|14623|1
19|18528|18646|1
20|11978|11321|1
21|10657|15768|1
22|11286|19473|1
23|7872|5829|1
24|6843|10875|1
25|5316|14907|1
26|6823|17923|1
#Africa|||
27|3216|407|1
28|3178|3453|1
29|3434|5177|1
30|-2262|5839|1
31|-6838|5616|1
#Australia|||
32|-14284|20764|1
#|||
33|5622|-9563|2
34|-25130|1515|2
35|-7433|-325|2
36|26550|1759|2
37|-12319|-25756|2
38|-1887|20496|2
39|-16491|1300|2
40|-26251|10049|2
41|-9370|-14215|2
42|-20803|-18681|2
43|-25475|4445|2
44|-23495|23672|2
45|-18884|3088|2
46|9944|-17294|2
47|14026|-17919|2
48|-10142|23900|2
49|-19852|-25619|2
50|-6387|6414|2
51|19310|12739|2
52|1712|-16423|2
53|-16545|-3534|2
54|17739|23166|2
55|5157|11694|2
56|-24376|25245|2
57|11815|-5791|2
58|-6815|-14078|2
59|19056|13244|2
60|-12727|-22547|2
61|4116|-5330|2
62|-13043|-12842|2
63|5320|11573|2
64|813|2273|2
65|-19600|-14021|2
66|-14529|26066|2
67|-13529|3238|2
68|-9298|-8471|2
69|-1236|-18289|2
70|5542|-768|2
71|21351|12858|2
72|13274|1294|2
73|12245|-15824|2
74|9573|25517|2
75|7369|-1875|2
76|9244|19456|2
77|-20037|17382|2
78|-9884|-350|2
79|11519|7114|2
80|840|7878|2
81|18942|3161|2
82|19201|-4525|2
83|-3733|20444|2
84|-21982|24597|2
85|-15512|-5996|2
86|872|-12243|2
87|14256|9341|2
88|15323|-14438|2
89|-3921|-25522|2
90|-23224|23308|2
91|-25056|-8731|2
92|20081|-12328|2
93|-5131|6543|2
94|-19660|17965|2
95|-24926|17540|2
96|-19455|-16326|2
97|-11110|13548|2
98|25321|26308|2
99|15256|-1260|2
100|-5608|-20810|2
101|23716|22896|2
102|-8179|-13171|2
103|-20885|-8238|2
104|26724|13974|2
